,unit,carriage,destination,origin,2019
217,MIO_TKM,HIRE,CY,DE,
218,MIO_TKM,HIRE,CY,FR,
219,MIO_TKM,HIRE,CY,NL,
220,MIO_TKM,HIRE,CY,UK,
221,MIO_TKM,HIRE,CZ,AT,42.0
222,MIO_TKM,HIRE,CZ,BE,11.0
223,MIO_TKM,HIRE,CZ,BG,44.0
224,MIO_TKM,HIRE,CZ,CH,
225,MIO_TKM,HIRE,CZ,CY,0.0
226,MIO_TKM,HIRE,CZ,DE,443.0
227,MIO_TKM,HIRE,CZ,DK,
228,MIO_TKM,HIRE,CZ,EE,
229,MIO_TKM,HIRE,CZ,EL,155.0
230,MIO_TKM,HIRE,CZ,ES,226.0
231,MIO_TKM,HIRE,CZ,FI,
232,MIO_TKM,HIRE,CZ,FR,5.0
233,MIO_TKM,HIRE,CZ,HR,51.0
234,MIO_TKM,HIRE,CZ,HU,345.0
235,MIO_TKM,HIRE,CZ,IE,
236,MIO_TKM,HIRE,CZ,IT,7.0
237,MIO_TKM,HIRE,CZ,LT,148.0
238,MIO_TKM,HIRE,CZ,LU,
239,MIO_TKM,HIRE,CZ,LV,59.0
240,MIO_TKM,HIRE,CZ,NL,43.0
241,MIO_TKM,HIRE,CZ,NO,
242,MIO_TKM,HIRE,CZ,PL,2879.0
243,MIO_TKM,HIRE,CZ,PT,91.0
244,MIO_TKM,HIRE,CZ,RO,249.0
245,MIO_TKM,HIRE,CZ,SE,
246,MIO_TKM,HIRE,CZ,SI,104.0
247,MIO_TKM,HIRE,CZ,SK,982.0
248,MIO_TKM,HIRE,CZ,UK,8.0
261,MIO_TKM,HIRE,DE,AT,1404.0
262,MIO_TKM,HIRE,DE,BE,1102.0
263,MIO_TKM,HIRE,DE,BG,382.0
264,MIO_TKM,HIRE,DE,CH,191.0
265,MIO_TKM,HIRE,DE,CY,1.0
266,MIO_TKM,HIRE,DE,CZ,2317.0
267,MIO_TKM,HIRE,DE,DE,
268,MIO_TKM,HIRE,DE,DK,344.0
269,MIO_TKM,HIRE,DE,EE,194.0
270,MIO_TKM,HIRE,DE,EL,2358.0
271,MIO_TKM,HIRE,DE,ES,8339.0
273,MIO_TKM,HIRE,DE,FI,5.0
274,MIO_TKM,HIRE,DE,FR,701.0
275,MIO_TKM,HIRE,DE,HR,432.0
276,MIO_TKM,HIRE,DE,HU,2203.0
277,MIO_TKM,HIRE,DE,IE,44.0
278,MIO_TKM,HIRE,DE,IT,1999.0
279,MIO_TKM,HIRE,DE,LI,
280,MIO_TKM,HIRE,DE,LT,982.0
281,MIO_TKM,HIRE,DE,LU,148.0
282,MIO_TKM,HIRE,DE,LV,652.0
283,MIO_TKM,HIRE,DE,NL,5428.0
284,MIO_TKM,HIRE,DE,NO,67.0
285,MIO_TKM,HIRE,DE,PL,22471.0
286,MIO_TKM,HIRE,DE,PT,854.0
287,MIO_TKM,HIRE,DE,RO,2152.0
288,MIO_TKM,HIRE,DE,SE,181.0
289,MIO_TKM,HIRE,DE,SI,1248.0
290,MIO_TKM,HIRE,DE,SK,2263.0
291,MIO_TKM,HIRE,DE,UK,274.0
292,MIO_TKM,HIRE,DK,AT,18.0
293,MIO_TKM,HIRE,DK,BE,23.0
294,MIO_TKM,HIRE,DK,BG,22.0
295,MIO_TKM,HIRE,DK,CY,2.0
296,MIO_TKM,HIRE,DK,CZ,58.0
297,MIO_TKM,HIRE,DK,DE,1257.0
